Model,Fuel type ,Drive wheels - Traction - Drivetrain ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
AUDI,Diesel,AWD,181,280,16.9,3748,136,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3704,127,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3704,136,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3748,136,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3627,127,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3627,127,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3704,127,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3704,136,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3627,127,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3704,127,172.76,72.09,62.6
AUDI,Petrol,AWD,328,324,19.8,4023,155,194.21,73.78,57.28
AUDI,Petrol,AWD,444,405,19.8,4343,155,194.13,73.78,56.3
AUDI,Petrol,AWD,249,272,17.2,3825,155,194.21,73.78,57.28
AUDI,Diesel,AWD,316,479,19.3,4211,155,194.21,73.78,57.28
AUDI,Diesel,AWD,268,427,19.3,4068,155,194.21,73.78,57.28
AUDI,Diesel,AWD,215,368,19.3,4057,152,194.21,73.78,57.28
AUDI,Diesel,AWD,187,295,19.3,4012,143,194.21,73.78,57.28
AUDI,Diesel,AWD,215,368,19.3,4057,152,194.21,73.78,57.28
AUDI,Diesel,AWD,322,479,19.3,4277,155,194.21,73.78,57.28
AUDI,Petrol,AWD,228,272,11.9,3120,155,156.5,68.74,56.02
AUDI,Petrol,AWD,296,280,14.5,3362,155,175.94,70.71,54.8
AUDI,Petrol,AWD,296,280,14.5,3318,155,175.94,70.71,54.8
AUDI,Diesel,AWD,148,250,13.2,3252,137,175.43,70.71,55.75
AUDI,Diesel,AWD,181,280,13.2,3318,147,175.43,70.71,55.75
AUDI,Diesel,AWD,181,280,13.2,3318,147,175.43,70.71,55.75
AUDI,Diesel,AWD,148,250,13.2,3252,137,175.43,70.71,55.75
AUDI,Diesel,AWD,148,250,13.2,3252,137,175.43,70.71,55.75
AUDI,Diesel,AWD,181,280,13.2,3318,147,175.43,70.71,55.75
AUDI,Petrol,AWD,296,280,14.5,3737,155,174.06,70.59,54.72
AUDI,Petrol,AWD,306,324,21.7,4310,155,207.28,76.73,57.91
AUDI,Petrol,AWD,429,442,21.7,4519,155,207.28,76.73,57.91
AUDI,Petrol,AWD,493,460,21.7,4740,155,207.28,76.73,57.91
AUDI,Diesel,AWD,254,427,21.7,4431,155,207.28,76.73,57.91
AUDI,Diesel,AWD,380,626,21.7,4784,155,207.28,76.73,57.91
AUDI,Diesel,AWD,258,427,21.7,4431,155,207.28,76.73,57.91
AUDI,Petrol,AWD,306,324,21.7,4200,155,202.17,76.73,57.48
AUDI,Petrol,AWD,429,442,21.7,4398,155,202.17,76.73,57.48
AUDI,Petrol,AWD,512,479,21.7,4553,155,202.64,76.73,57.4
AUDI,Petrol,AWD,597,516,21.7,4553,155,202.64,76.73,57.4
AUDI,Diesel,AWD,254,427,21.7,4310,155,202.17,76.73,57.48
AUDI,Diesel,AWD,380,626,21.7,4663,155,202.17,76.73,57.48
AUDI,Diesel,AWD,258,427,21.7,4310,155,202.17,76.73,57.48
AUDI,Petrol,AWD,168,236,16.1,3483,142,185.08,71.89,55.39
AUDI,Petrol,AWD,328,324,16.1,3924,155,185.67,71.89,55.35
AUDI,Petrol,AWD,268,295,16.1,3825,155,185.08,71.89,55.39
AUDI,Diesel,AWD,141,236,16.1,3605,134,185.08,71.89,55.39
AUDI,Diesel,AWD,175,280,16.1,3616,142,185.08,71.89,55.39
AUDI,Diesel,AWD,242,368,16.1,3781,155,185.08,71.89,55.39
AUDI,Diesel,AWD,187,295,16.1,3814,146,185.08,71.89,55.39
AUDI,Diesel,AWD,187,295,16.1,3726,146,185.08,71.89,55.39
AUDI,Diesel,AWD,175,280,16.1,3682,140,185.08,71.89,55.39
AUDI,Petrol,AWD,228,272,11.9,3120,155,156.5,68.74,56.02
AUDI,Petrol,AWD,168,206,16.9,3494,132,172.64,72.09,62.6
AUDI,Petrol,AWD,168,206,16.9,3494,132,172.64,72.09,62.6
AUDI,Petrol,AWD,168,206,16.9,3494,132,172.64,72.09,62.6
AUDI,Petrol,AWD,208,221,16.9,3616,143,172.64,72.09,62.6
AUDI,Petrol,AWD,168,206,16.9,3594,132,172.64,72.09,62.6
AUDI,Diesel,AWD,138,236,16.9,3549,122,172.64,72.09,62.6
AUDI,Diesel,AWD,138,236,16.9,3549,122,172.64,72.09,62.6
AUDI,Diesel,AWD,138,236,16.9,3549,122,172.64,72.09,62.6
AUDI,Diesel,AWD,138,236,16.9,3627,123,172.64,72.09,62.6
AUDI,Petrol,AWD,296,280,14.5,3241,155,167.48,69.96,55.16
AUDI,Petrol,AWD,177,206,14.5,3142,142,166.81,69.96,55.94
AUDI,Petrol,AWD,177,206,14.5,3142,142,166.81,69.96,55.94
AUDI,Petrol,AWD,177,206,14.5,3142,142,166.81,69.96,55.94
AUDI,Diesel,AWD,148,236,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,148,236,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,148,236,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,148,250,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,148,250,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,148,250,13.2,3164,133,166.81,69.96,55.94
AUDI,Diesel,AWD,181,280,13.2,3241,143,166.81,69.96,55.94
AUDI,Diesel,AWD,309,479,19.8,4255,155,193.94,73.78,57.52
AUDI,Petrol,AWD,158,184,15.9,3285,137,168.98,69.49,56.02
AUDI,Petrol,AWD,158,184,15.9,3285,137,168.98,69.49,56.02
AUDI,Petrol,AWD,158,184,15.9,3285,137,168.98,69.49,56.02
AUDI,Petrol,AWD,261,258,15.9,3461,155,169.37,69.49,55.2
AUDI,Petrol,AWD,177,206,14.5,3208,142,169.69,70.28,56.1
AUDI,Petrol,AWD,177,206,14.5,3208,142,169.69,70.28,56.1
AUDI,Petrol,AWD,177,206,14.5,3208,142,169.69,70.28,56.1
AUDI,Petrol,AWD,362,342,14.5,3516,155,170.24,70.28,55.12
AUDI,Diesel,AWD,138,236,15.9,3384,129,168.98,69.49,56.02
AUDI,Diesel,AWD,138,236,15.9,3384,129,168.98,69.49,56.02
AUDI,Diesel,AWD,138,236,15.9,3384,129,168.98,69.49,56.02
AUDI,Diesel,AWD,168,258,15.9,3417,138,168.98,69.49,56.02
AUDI,Diesel,AWD,168,258,15.9,3417,138,168.98,69.49,56.02
AUDI,Diesel,AWD,168,258,15.9,3417,138,168.98,69.49,56.02
AUDI,Diesel,AWD,148,236,13.2,3230,133,169.69,70.28,56.1
AUDI,Diesel,AWD,148,236,13.2,3230,133,169.69,70.28,56.1
AUDI,Diesel,AWD,148,236,13.2,3230,133,169.69,70.28,56.1
AUDI,Diesel,AWD,148,250,13.2,3219,133,169.69,70.28,56.1
AUDI,Diesel,AWD,148,250,13.2,3219,133,169.69,70.28,56.1
AUDI,Diesel,AWD,148,250,13.2,3219,133,169.69,70.28,56.1
AUDI,Petrol,AWD,168,236,16.1,3605,137,185,71.89,55.75
AUDI,Petrol,AWD,208,258,16.1,3649,148,185,71.89,55.75
AUDI,Petrol,AWD,268,295,16.1,3946,155,185,71.89,55.75
AUDI,Petrol,AWD,328,324,16.1,4023,155,185.79,71.89,55.71
AUDI,Petrol,AWD,328,324,16.1,4023,155,185.79,71.89,55.71
AUDI,Diesel,AWD,175,280,16.1,3704,138,185,71.89,55.75
AUDI,Diesel,AWD,242,368,16.1,3869,155,185,71.89,55.75
AUDI,Diesel,AWD,141,236,16.1,3693,129,185,71.89,55.75
AUDI,Diesel,AWD,187,295,16.1,3913,143,185,71.89,55.75
AUDI,Diesel,AWD,187,295,16.1,3814,142,185,71.89,55.75
AUDI,Diesel,AWD,175,280,16.1,3781,135,185,71.89,55.75
AUDI,Petrol,AWD,208,258,16.1,3715,143,185.87,72.48,58.86
AUDI,Diesel,AWD,175,280,16.1,3759,134,185.87,72.48,58.86
AUDI,Diesel,AWD,141,236,16.1,3759,124,185.87,72.48,58.86
AUDI,Diesel,AWD,242,368,16.1,4112,147,185.87,72.48,58.86
AUDI,Diesel,AWD,187,295,16.1,3891,139,185.87,72.48,58.86
AUDI,Diesel,AWD,187,295,16.1,3979,134,185.87,72.48,58.86
AUDI,Diesel,AWD,175,280,16.1,3759,134,185.87,72.48,58.86
AUDI,Diesel,AWD,175,280,16.1,3847,131,185.87,72.48,58.86
AUDI,Diesel,AWD,309,479,19.8,4112,155,193.5,73.78,57.28
AUDI,Petrol,AWD,295,324,17.2,4101,155,195.63,75.24,55.91
AUDI,Petrol,AWD,201,206,17.2,3979,146,195.63,75.24,55.91
AUDI,Petrol,AWD,552,516,19.8,4398,155,197.32,75.24,55.87
AUDI,Diesel,AWD,242,368,17.2,4101,155,195.63,75.24,55.91
AUDI,Diesel,AWD,242,427,17.2,4101,155,195.63,75.24,55.91
AUDI,Diesel,AWD,309,479,17.2,4244,155,195.63,75.24,55.91
AUDI,Petrol,AWD,286,309,23.8,4310,155,207.36,76.73,57.91
AUDI,Petrol,AWD,366,328,23.8,4321,155,207.36,76.73,57.91
AUDI,Petrol,AWD,493,460,23.8,4696,155,207.36,76.73,57.91
AUDI,Petrol,AWD,493,460,23.8,4696,155,207.36,76.73,57.91
AUDI,Petrol,AWD,286,309,23.8,4310,155,207.36,76.73,57.91
AUDI,Petrol,AWD,414,442,23.8,4453,155,207.36,76.73,57.91
AUDI,Diesel,AWD,247,405,23.8,4332,155,207.36,76.73,57.91
AUDI,Diesel,AWD,346,590,23.8,4674,155,207.36,76.73,57.91
AUDI,Diesel,AWD,247,405,23.8,4332,155,207.36,76.73,57.91
AUDI,Diesel,AWD,247,405,23.8,4332,155,207.36,76.73,57.91
AUDI,Diesel,AWD,346,590,23.8,4674,155,207.36,76.73,57.91
AUDI,Diesel,AWD,247,405,23.8,4420,155,207.36,76.73,57.91
AUDI,Petrol,AWD,366,328,23.8,4211,155,202.24,76.73,57.48
AUDI,Petrol,AWD,286,309,23.8,4200,155,202.24,76.73,57.48
AUDI,Petrol,AWD,286,309,23.8,4200,155,202.24,76.73,57.48
AUDI,Petrol,AWD,414,442,23.8,4343,155,202.24,76.73,57.48
AUDI,Petrol,AWD,512,479,23.8,4519,155,202.2,76.73,57.4
AUDI,Diesel,AWD,346,590,23.8,4564,155,202.24,76.73,57.48
AUDI,Diesel,AWD,247,405,23.8,4222,155,202.24,76.73,57.48
AUDI,Diesel,AWD,346,590,23.8,4564,155,202.24,76.73,57.48
AUDI,Diesel,AWD,247,405,23.8,4310,155,202.24,76.73,57.48
AUDI,Petrol,AWD,253,258,11.9,3230,152,156.97,68.5,55.75
AUDI,Petrol,AWD,268,295,16.1,4244,155,182.13,72.99,54.45
AUDI,Petrol,AWD,328,324,16.1,4310,155,182.68,72.99,54.33
AUDI,Diesel,AWD,175,280,16.6,3957,137,182.13,72.99,54.45
AUDI,Diesel,AWD,187,295,16.6,4079,144,182.13,72.99,54.45
AUDI,Diesel,AWD,242,368,16.1,4354,155,182.13,72.99,54.45
AUDI,Petrol,AWD,177,236,19.8,3957,131,182.24,74.02,65.08
AUDI,Petrol,AWD,208,258,19.8,3957,138,182.24,74.02,65.08
AUDI,Petrol,AWD,208,258,19.8,4034,138,182.24,74.02,65.08
AUDI,Petrol,AWD,178,236,19.8,3935,131,182.24,74.02,65.08
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,268,295,19.8,4222,145,182.24,74.72,65.16
AUDI,Petrol,AWD,268,295,19.8,4222,145,182.24,74.72,65.16
AUDI,Petrol,AWD,268,295,19.8,4222,145,182.24,74.72,65.16
AUDI,Petrol,AWD,177,236,19.8,3957,131,182.24,74.72,65.16
AUDI,Petrol,AWD,177,236,19.8,3957,131,182.24,74.72,65.16
AUDI,Petrol,AWD,177,236,19.8,3957,131,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,3957,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,3957,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,3957,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,4034,138,182.24,74.72,65.16
AUDI,Petrol,AWD,221,258,19.8,3957,138,182.24,74.72,65.16
AUDI,Petrol,AWD,177,236,19.8,3957,131,182.24,74.72,65.16
AUDI,Petrol,AWD,268,295,19.8,4222,145,182.24,74.72,65.16
AUDI,Diesel,AWD,141,236,19.8,4012,118,182.24,74.02,65.08
AUDI,Diesel,AWD,168,258,19.8,4034,127,182.24,74.02,65.08
AUDI,Diesel,AWD,175,280,19.8,4034,127,182.24,74.72,65.16
AUDI,Diesel,AWD,175,280,19.8,4034,127,182.24,74.72,65.16
AUDI,Diesel,AWD,175,280,19.8,4034,127,182.24,74.72,65.16
AUDI,Diesel,AWD,141,236,19.8,4012,118,182.24,74.02,65.08
AUDI,Diesel,AWD,309,479,19.8,4398,155,182.83,75.24,63.94
AUDI,Diesel,AWD,254,427,19.8,4310,143,182.24,74.72,65.16
AUDI,Diesel,AWD,254,427,19.8,4310,143,182.24,74.72,65.16
AUDI,Diesel,AWD,187,295,19.8,4244,131,182.24,74.72,65.16
AUDI,Diesel,AWD,187,295,19.8,4244,131,182.24,74.72,65.16
AUDI,Diesel,AWD,187,295,19.8,4244,131,182.24,74.72,65.16
AUDI,Diesel,AWD,242,427,19.8,4266,140,182.24,74.72,65.16
AUDI,Diesel,AWD,175,280,19.8,4178,124,182.24,74.72,65.16
AUDI,Diesel,AWD,175,280,19.8,4034,127,182.24,74.72,65.16
AUDI,Diesel,AWD,148,236,19.8,4034,118,182.24,74.72,65.16
AUDI,Diesel,AWD,254,427,19.8,4310,143,182.24,74.72,65.16
AUDI,Diesel,AWD,309,479,19.8,4575,155,182.83,75.24,63.94
AUDI,Diesel,AWD,322,479,19.8,4398,155,182.83,75.24,63.94
AUDI,Petrol,AWD,208,258,16.9,3726,143,185.87,72.48,58.86
AUDI,Diesel,AWD,141,236,16.9,3759,124,185.87,72.48,58.86
AUDI,Diesel,AWD,168,258,16.9,3759,132,185.87,72.48,58.86
AUDI,Diesel,AWD,236,368,16.9,3979,147,185.87,72.48,58.86
AUDI,Petrol,AWD,208,258,17.2,3638,150,185.47,72.99,54.76
AUDI,Petrol,AWD,328,324,17.2,4034,155,185.47,72.99,54.76
AUDI,Petrol,AWD,261,243,17.2,3803,155,185.47,72.99,54.76
AUDI,Petrol,AWD,208,258,17.2,3726,150,185.47,72.99,54.76
AUDI,Petrol,AWD,208,258,16.1,3627,150,185.51,72.99,54.76
AUDI,Petrol,AWD,268,295,16.1,3946,155,185.51,72.99,54.76
AUDI,Petrol,AWD,328,324,16.1,4012,155,185.75,72.99,54.41
AUDI,Diesel,AWD,168,258,17.2,3693,139,185.47,72.99,54.76
AUDI,Diesel,AWD,236,368,17.2,3880,155,185.47,72.99,54.76
AUDI,Diesel,AWD,236,368,17.2,3957,155,185.47,72.99,54.76
AUDI,Diesel,AWD,242,368,16.1,3825,155,185.51,72.99,54.76
AUDI,Diesel,AWD,175,280,16.6,3660,139,185.51,72.99,54.76
AUDI,Diesel,AWD,187,295,16.1,3880,144,185.51,72.99,54.76
AUDI,Diesel,AWD,187,295,16.6,3803,146,185.51,72.99,54.76
AUDI,Diesel,AWD,242,427,16.1,4023,155,185.51,72.99,54.76
AUDI,Petrol,AWD,158,184,16.9,3605,135,185.16,71.89,56.54
AUDI,Petrol,AWD,261,243,16.9,3825,155,185.16,71.89,56.54
AUDI,Petrol,AWD,261,243,16.9,3759,155,185.16,71.89,56.54
AUDI,Petrol,AWD,208,258,16.9,3638,148,185.16,71.89,56.54
AUDI,Petrol,AWD,328,324,16.9,3924,155,185.71,71.89,55.71
AUDI,Diesel,AWD,236,368,16.9,4090,155,185.16,71.89,56.54
AUDI,Diesel,AWD,236,368,16.9,3902,155,185.16,71.89,56.54
AUDI,Diesel,AWD,168,258,16.9,3693,137,185.16,71.89,56.54
AUDI,Diesel,AWD,141,236,16.9,3693,129,185.16,71.89,56.54
AUDI,Petrol,AWD,247,236,15.9,3241,155,164.57,72.44,53.54
AUDI,Petrol,AWD,268,258,15.9,3252,155,165.28,72.52,53.15
AUDI,Petrol,AWD,268,258,15.9,3208,155,165.28,72.52,53.15
